Team,Instagram,X,TikTok
Arizona Cardinals,1.2,1.2,0.9312
Atlanta Falcons,1.4,2.4,1.2
Baltimore Ravens,2.2,1.9,1.7
Buffalo Bills,1.8,1.8,2.2
Carolina Panthers,1.9,3.1,1.1
Chicago Bears,1.7,2.1,1.2
Cincinnati Bengals,1.7,1.7,2.1
Cleveland Browns,1.5,1.7,1.2
Dallas Cowboys,4.9,4.4,2.4
Denver Broncos,1.5,2.8,0.9868
Detroit Lions,1.4,1.7,2.3
Green Bay Packers,2.8,2.6,0.9983
Houston Texans,1.8,2,0.6131
Indianapolis Colts,1,1.3,1.1
Jacksonville Jaguars,0.895,0.8792,0.5525
Kansas City Chiefs,4.3,2.6,4.8
Las Vegas Raiders,2.4,1.9,0.6753
Los Angeles Chargers,1.2,1.1,1.4
Los Angeles Rams,1.8,1.3,1.7
Miami Dolphins,1.9,1.3,1.5
Minnesota Vikings,1.5,0.999,1.3
New England Patriots,5,4.7,1.3
New Orleans Saints,2.1,1.8,1.1
New York Giants,2.8,2,1.3
New York Jets,1.2,1.4,1.1
Philadelphia Eagles,3.7,3.9,3.1
Pittsburgh Steelers,3.7,3.8,2.1
San Francisco 49ers,3.8,2.5,2
Seattle Seahawks,3.3,2.6,1.3
Tampa Bay Buccaneers,1.5,1.3,1.3
Tennessee Titans,0.9533,1.1,1.4
Washington Commanders,1.2,1.4,0.8362